Galaxy,Rad_kpc,Vobs,errV,Vgas,Vdisk,Vbulge,Rad_meters,V_baryonic_sq,V_baryonic,Accel,Exponent,Nu,V_calculated
UGC05764,0.73,31.3,1.58,6.05,10.22,0.0,2.25278e+19,84.648764,9.2004762920188,3.757524658422039e-12,0.14343347584305086,7.483821849899151,25.169351791219352
UGC05764,1.09,41.7,1.16,9.4,11.44,0.0,3.3637400000000004e+19,148.561856,12.188595325138989,4.41656774899368e-12,0.15550417431481706,6.943649000115337,32.11792930544681
UGC05764,1.45,48.35,0.44,12.81,11.24,0.0,4.4747e+19,222.211396,14.906756723043413,4.9659507006056265e-12,0.1648924629985712,6.578293388126899,38.23312382049429
UGC05764,1.81,50.6,0.37,16.05,11.43,0.0,5.58566e+19,317.699154,17.824117201140705,5.6877639168871695e-12,0.17646979618210618,6.181390289784115,44.31503656331819
UGC05764,2.17,54.05,0.59,18.46,11.43,0.0,6.69662e+19,400.86825400000004,20.021694583626033,5.986128136283679e-12,0.18103919409688415,6.038744137806493,49.20102457139713
UGC05764,2.54,55.8,0.76,20.04,11.39,0.0,7.83844e+19,461.27836599999995,21.477391973887332,5.884823587346462e-12,0.1795007747362479,6.085956967022646,52.98415126520875
UGC05764,2.9,54.55,0.71,20.71,11.38,0.0,8.9494e+19,488.476124,22.101495967467905,5.458199700538584e-12,0.17287186361221848,6.299030158109027,55.4700444978387
UGC05764,3.26,50.0,2.65,20.29,11.12,0.0,1.006036e+20,468.56512399999997,21.646365145215487,4.657538338588281e-12,0.1596900373459533,6.775433268618199,56.34475778334495
UGC05764,3.62,49.9,2.77,19.63,11.17,0.0,1.117132e+20,442.73059399999994,21.041164273870397,3.963100099182549e-12,0.1473048764312914,7.300912487687947,56.85364827709918
UGC06818,0.87,23.4,5.55,3.13,27.44,0.0,2.68482e+19,356.15555600000005,18.872084039660272,1.3265528266326978e-11,0.2695019288948063,4.23297993611697,38.827816352256846
UGC06818,1.74,28.0,5.2,4.07,38.72,0.0,5.36964e+19,706.214564,26.57469781577958,1.3151990896968882e-11,0.26834614025886183,4.24886560199519,54.77783099582924
UGC06818,2.61,36.7,4.25,7.08,40.85,0.0,8.05446e+19,817.7387500000001,28.59613173140731,1.0152620411548387e-11,0.2357700728643224,4.761049741283534,62.396272838407754
UGC06818,3.5,47.6,4.25,10.56,41.42,0.0,1.0801e+20,900.6971440000001,30.011616817492524,8.339016239237108e-12,0.21367662380566613,5.197761965016447,68.42228699102465
UGC06818,4.37,63.3,4.75,13.36,40.22,0.0,1.348582e+20,922.607864,30.374460719492617,6.8413182439035965e-12,0.1935394488251876,5.6830235074935285,72.40995911689491
UGC06818,5.24,71.2,5.25,17.35,39.25,0.0,1.617064e+20,1009.6812500000001,31.775481900358333,6.2439164436287e-12,0.18489626767464798,5.923837249496963,77.3381367687938
UGC06818,6.11,68.1,6.0,19.51,37.01,0.0,1.885546e+20,1010.720546,31.7918314351344,5.3603600548594406e-12,0.17131547088517546,6.351453745138614,80.12206186301151
UGC06818,6.98,74.4,6.0,20.91,34.75,0.0,2.154028e+20,992.70685,31.507250752802918,4.6086069911811734e-12,0.15884898361738825,6.8085192197359765,82.21230849324546
NGC6789,0.1,13.9,3.84,2.8,7.62,0.0,3.086e+18,34.549624,5.877892819710138,1.1195600777705766e-11,0.24758441607718087,4.559637416225395,12.551245289090597
NGC6789,0.3,29.9,3.92,7.72,17.26,0.0,9.258e+18,196.63589600000003,14.022692180890232,2.123956534888745e-11,0.3410141623979526,3.460792450198107,26.086702058994355
NGC6789,0.51,46.7,4.1,11.07,20.43,0.0,1.57386e+19,314.54195400000003,17.73533067072616,1.998538332507339e-11,0.3307926448620108,3.5505577338521284,33.41854825386137
NGC6789,0.71,60.4,9.4,11.87,21.37,0.0,2.19106e+19,350.968274,18.734147271760197,1.6018195485290227e-11,0.29614635928422356,3.9013516060323825,37.003386864398145
NGC1003,1.25,47.0,7.6,2.05,56.98,0.0,3.8575e+19,1497.693884,38.70005018084602,3.8825505742060916e-11,0.46106076231688947,2.7071978118319118,63.67537676024256
NGC1003,2.08,59.5,4.5,6.07,64.63,0.0,6.41888e+19,1958.2818739999998,44.25247873283484,3.050815522334114e-11,0.4087027659886571,2.9807300433674064,76.40097915088278
NGC1003,2.9,71.6,3.7,10.81,74.91,0.0,8.9494e+19,2698.149826,51.943717868477606,3.0148946588598117e-11,0.4062895708095266,2.9950633991795796,89.8951043681209
NGC1003,3.73,77.6,3.1,14.74,77.71,0.0,1.151078e+20,2995.135886,54.72783465477142,2.6020268704640342e-11,0.3774465775075259,3.180761002610649,97.60538624332416
NGC1003,4.56,83.4,3.6,17.0,79.57,0.0,1.4072159999999998e+20,3201.4370539999995,56.58124295205965,2.2750146772066262e-11,0.3529325423967377,3.3627528151693373,103.75760919530639
NGC1003,5.39,89.7,3.8,19.26,79.39,0.0,1.663354e+20,3270.2227660000003,57.18586159183055,1.9660413634139217e-11,0.32809221728722987,3.575215654934012,108.12840342909354
NGC1003,6.22,93.8,2.4,21.62,73.38,0.0,1.919492e+20,2944.351624,54.26188002640528,1.5339223211141282e-11,0.2898019389355375,3.974748962548987,108.18067555193684
NGC1003,7.04,99.0,3.0,23.59,69.52,0.0,2.172544e+20,2779.682084,52.722690409348424,1.2794595110616865e-11,0.2646749725669016,4.300249500427156,109.331269511825
NGC1003,7.87,103.0,2.5,27.03,65.95,0.0,2.428682e+20,2731.34605,52.262281331759716,1.1246206996222645e-11,0.24814334920233802,4.550586103231885,111.48643584870449
NGC1003,8.7,100.0,2.3,28.5,62.8,0.0,2.6848199999999997e+20,2626.4164,51.24857461432464,9.78246735349111e-12,0.23143221228158206,4.840188500614571,112.74905967282174
